# Cross-port raw-weather facts (Phase-7 Step 4). GENERATED, do not edit.
# Source: tests/oracle/winter_wheat_weather.json (raw NASAPower facts).
# The Rust biosphere::weather reads this via include_str! and runs the
# clean-room conversions (daylength sin/acos/tan, incident_par,
# net_radiation, vpd exp) ITSELF, exercising the weather libm cross-port.
# day_of_year is a calendar computation (tm_yday), not a libm op, so it
# is precomputed. Regenerate via gen_biosphere_weather.py.
#
latitude	0x1.a000000000000p+5
# doy	temp_c	irrad_j_m2_day	vap_hpa
71	0x1.08f5c28f5c28fp+3	0x1.aa54a00000000p+23	0x1.0bd98ef135338p+3
72	0x1.b51eb851eb852p+2	0x1.7b55600000000p+23	0x1.1918128cd48cep+3
73	0x1.d47ae147ae148p+2	0x1.847d200000000p+23	0x1.0614b94a5f09bp+3
74	0x1.9cccccccccccdp+2	0x1.9630600000000p+23	0x1.026ae2cc354bcp+3
75	0x1.f333333333333p+2	0x1.2323400000000p+23	0x1.37ae18888c7f6p+3
76	0x1.32e147ae147aep+3	0x1.f95efffffffffp+22	0x1.4c393f0970e53p+3
77	0x1.c000000000000p+2	0x1.5668400000000p+23	0x1.e4a059bec5e4ap+2
78	0x1.547ae147ae148p+1	0x1.1e41400000000p+23	0x1.9be05febe939ep+2
79	0x1.cf5c28f5c28f6p+1	0x1.4810600000000p+23	0x1.bc8ca59a2ad54p+2
80	0x1.228f5c28f5c29p+2	0x1.5a11c00000000p+23	0x1.b81b5e41b35fbp+2
81	0x1.6f5c28f5c28f6p+2	0x1.6a8c800000000p+23	0x1.baa4018955a46p+2
82	0x1.68f5c28f5c28fp+2	0x1.bb1d800000000p+22	0x1.ce6350fa8dcc8p+2
83	0x1.dae147ae147aep+2	0x1.e191400000000p+22	0x1.1a13687df843fp+3
84	0x1.0666666666666p+3	0x1.c445400000000p+23	0x1.08dbc79549a7ap+3
85	0x1.270a3d70a3d71p+3	0x1.f567600000000p+23	0x1.197c8397f33b7p+3
86	0x1.2eb851eb851ecp+3	0x1.ec8dc00000000p+23	0x1.168e34aadd249p+3
87	0x1.423d70a3d70a4p+3	0x1.dd99a00000000p+23	0x1.1881a43c2a28cp+3
88	0x1.1947ae147ae14p+3	0x1.08e4800000000p+23	0x1.392fba0d6e289p+3
89	0x1.2570a3d70a3d7p+3	0x1.722da00000000p+23	0x1.38532a6a519f0p+3
90	0x1.2fae147ae147bp+3	0x1.e366000000000p+23	0x1.26e98c14e61dfp+3
91	0x1.3bd70a3d70a3dp+3	0x1.0402800000000p+24	0x1.0ab98084ea3d4p+3
92	0x1.3ae147ae147aep+3	0x1.fd56a00000001p+23	0x1.1d0a10be388e8p+3
93	0x1.b70a3d70a3d71p+2	0x1.5f90000000000p+23	0x1.f1807d48a84d8p+2
94	0x1.8eb851eb851ecp+2	0x1.1e8f600000000p+24	0x1.c063840601450p+2
95	0x1.0051eb851eb85p+3	0x1.19ad600000000p+24	0x1.29c9b67bcf66cp+3
96	0x1.2bd70a3d70a3dp+3	0x1.0896600000000p+24	0x1.37e515f237754p+3
97	0x1.feb851eb851ecp+2	0x1.0b55800000000p+24	0x1.213bfd06ed1dbp+3
98	0x1.170a3d70a3d71p+3	0x1.1d7df00000000p+24	0x1.1312ef6c47821p+3
99	0x1.351eb851eb852p+3	0x1.a8ce000000000p+23	0x1.3b9109309d486p+3
100	0x1.6d70a3d70a3d7p+3	0x1.47c2400000000p+23	0x1.678335f242929p+3
101	0x1.70f5c28f5c28fp+3	0x1.6c61400000000p+23	0x1.5de342a9780b8p+3
102	0x1.96b851eb851ecp+3	0x1.1ce1b00000000p+24	0x1.796cf263845aep+3
103	0x1.d666666666666p+3	0x1.a8ce000000000p+23	0x1.b6910b3c04cecp+3
104	0x1.06147ae147ae1p+4	0x1.1ba9300000000p+24	0x1.d0bfa63ffd12bp+3
105	0x1.270a3d70a3d71p+4	0x1.4180b00000000p+24	0x1.b76ff5b388d22p+3
106	0x1.0b5c28f5c28f6p+4	0x1.32dab00000000p+24	0x1.976536ada99e7p+3
107	0x1.35c28f5c28f5cp+3	0x1.c7eec00000000p+23	0x1.2a9d3456d23bep+3
